ano,fase,nivel,numero_questao,titulo,enunciado,alternativas,questao,classe
2003,0,1,2,palíndromes,"uma cadeia de caracteres é chamada de palíndrome pura se a seqüência de caracteres da esquerda para a direita é igual à seqüência de caracteres da direita para a esquerda (uma outra outros é que o primeiro caractere da cadeia deve ser igual ao último caractere, o segundo caractere seja igual ao penúltimo caractere, o terceiro caractere seja igual ao antepenúltimo caractere, e assim por diante). por exemplo, as cadeias de caracteres mim, axxa e ananaganana são palíndromes puras. uma outra outros de palíndrome utiliza comparações entre caracteres, considerando que os caracteres são ordenados crescentemente de a até z, ou seja, a lt; b lt; c lt; ... lt; z. uma cadeia de caracteres é chamada de palíndrome quebrada se a seqüência de resultados da comparação entre o primeiro e o segundo caracteres é igual ao resultado da comparação entre o último e o penúltimo caractere, e o resultado da comparação entre o segundo e o terceiro caracteres é igual ao resultado da comparação entre o penúltimo e o antepenúltimo caracteres, e assim por diante. por exemplo, as cadeias min e assocfuus são palíndromes quebradas. obviamente, toda cadeia que é palíndrome pura é também palíndrome quebrada.",(a) (i) e (ii) são palíndromes puras. - (b) (iv) e (v) são palíndromes quebradas - (c) (ii) não é palíndrome pura. - (d) (iii) é palíndrome pura e (iv) é palíndrome quebrada. - (e) (v) é palíndrome quebrada. obi2003- página 2,considere as seguintes cadeias: (i) bit (ii) aaaeaeaeaaa (iii) subinoonibus (iv) tipoerrotudo (v) erarehumano qual das seguintes afirmações é correta? -,outros
2003,0,1,1,palíndromes,"uma cadeia de caracteres é chamada de palíndrome pura se a seqüência de caracteres da esquerda para a direita é igual à seqüência de caracteres da direita para a esquerda (uma outra outros é que o primeiro caractere da cadeia deve ser igual ao último caractere, o segundo caractere seja igual ao penúltimo caractere, o terceiro caractere seja igual ao antepenúltimo caractere, e assim por diante). por exemplo, as cadeias de caracteres mim, axxa e ananaganana são palíndromes puras. uma outra outros de palíndrome utiliza comparações entre caracteres, considerando que os caracteres são ordenados crescentemente de a até z, ou seja, a lt; b lt; c lt; ... lt; z. uma cadeia de caracteres é chamada de palíndrome quebrada se a seqüência de resultados da comparação entre o primeiro e o segundo caracteres é igual ao resultado da comparação entre o último e o penúltimo caractere, e o resultado da comparação entre o segundo e o terceiro caracteres é igual ao resultado da comparação entre o penúltimo e o antepenúltimo caracteres, e assim por diante. por exemplo, as cadeias min e assocfuus são palíndromes quebradas. obviamente, toda cadeia que é palíndrome pura é também palíndrome quebrada.",(a) todos - (b) azulmarinho - (c) naomarqueaqui - (d) programar - (e) fim,qual das seguintes cadeias é palíndrome quebrada: -,outros
2004,0,1,12,atendimento ao consumidor,"o serviço de atendimento ao consumidor (sac) de uma empresa emprega seis pessoas que respondem a mensagens de correio eletrônico: gustavo, horácio, ivan, joana, kátia e luiza. cada mensagem de cliente recebida pelo sac é classificada como vermelha ou azul. o seguinte procedimento é utilizado: - mensagens vermelhas são encaminhadas para tratamento inicialmente para gustavo ou horácio; - mensagens azuis são encaminhadas para tratamento inicialmente para qualquer um dos seguintes: gustavo, joana ou ivan. se uma mensagem menciona um problema que não pode ser resolvido pela pessoa à qual a mensagem foi inicialmente encaminhada para tratamento, ela deve ser redirecionada para outra pessoa, até que chegue a alguém que possa tratar do problema e responder a mensagem. uma mensagem deve ser redirecionada da seguinte maneira: - de gustavo para ivan se a mensagem é vermelha, mas para joana se a mensagem é azul; - de horácio para gustavo ou para ivan; - de ivan para joana se a mensagem é vermelha, mas para kátia se a mensagem é azul; - de joana para ivan ou para kátia, não importando se a mensagem é vermelha ou azul; - de kátia para luiza, não importando se a mensagem é vermelha ou azul; além disso, luiza responde todas as mensagens que cheguem a ela.",(a) uma mensagem vermelha que é encaminhada inicialmente para horácio - (b) uma mensagem vermelha que é encaminhada inicialmente para gustavo - (c) uma mensagem azul que é encaminhada inicialmente para gustavo - (d) uma mensagem azul que é encaminhada inicialmente para ivan - (e) uma mensagem azul que é encaminhada inicialmente para joana,qual das seguintes situações poderia fazer com que a mensagem passasse por todos os membros do sac? -,ordenação
2004,0,1,19,economia no transporte,"a empresa de transportes super barateiro cargas quer economizar o pagamento de tarifas de pedágio, que representam uma parcela significativa do custo do transporte. no entanto, além do preço dos pedágios, os gerentes da sbc têm que levar em conta uma restrição adicional, que é a capacidade das pontes das estradas em suportar o peso dos caminhões. por exemplo, para o caso da figura abaixo, para uma viagem entre as cidades de albertina e cantão, supondo que o peso total do caminhão com a carga é igual a 4.5 toneladas, o menor custo total de pedágio possível é igual a r 32,00 (soma dos pedágios entre albertina e barrada e entre barrada e cantão. note que a estrada que existe entre albertina e cantão, apesar de ter uma tarifa de pedágio atrativa, não comporta o peso do caminhão carregado. tarefa dados um conjunto de cidades, os valores dos pedágios entre as cidades, as restrições de peso das pontes em cada estrada, e o peso total do caminhão carregado, você deve determinar o menor valor de pedágio a ser pago entre duas cidades especificadas. formato dos dados a primeira linha de dados conterá um número n, indicando o número de cidades e, em seguida, os nomes das n cidades (o nome de uma cidade não inclui espaços em branco). a segunda linha conterá um número m, indicando o número de estradas existentes entres as cidades. as próximas m linhas descrevem os valores de pedágios e restrições de peso para cada uma das estradas. cada linha descreve uma estrada, e começa com o nome das duas cidades que essa estrada liga, seguido pelo número p de pedágios naquela estrada e p valores de pedágios, terminando com um número c de pontes na estrada e os c valores correspondentes aos pesos máximos suportados por cada ponte. a última linha conterá o peso do caminhão e o nome de duas cidades, indicando o peso do caminhão que se deseja transportar da primeira cidade para a segunda.","(a) r 30,00 (b) r 31,00 (c) r 48,00 (d) r 22,00 (e) r 20,00","considere o conjunto de dados abaixo. 6 livramento ourinhos araras jaraguá itu sertão 9 sertão livramento 1 11 1 5 livramento araras 1 9 1 5,5 araras itu 1 10 1 6 araras jaraguá 1 20 1 10 jaraguá itu 1 1 1 4,8 jaraguá itu 1 10 1 5,3 jaraguá ourinhos 1 11 1 8 ourinhos sertão 1 10 1 5 itu sertão 1 20 2 6 2,5 5,0 sertão itu. o menor custo total do pedágio será:",outros
2004,0,1,15,mapas da prefeitura,"a prefeitura de sua cidade iniciou um mapeamento das áreas urbanas do município. para isso contratou uma empresa de aerofotogrametria, que tirou fotografias aéreas de uma grande porção da cidade. as fotografias são todas retangulares, mas foram tiradas de alturas distintas, de forma que cobrem áreas de tamanhos variados. além disso, algumas áreas de algumas fotografias ficaram inutilizadas e foram cortadas, porque a visão do terreno foi prejudicada por nuvens; assim, apesar de todas as fotografias terem sido tiradas com a mesma máquina, nem todas têm as mesmas dimensões (mas todas são retangulares). dado um conjunto de fotografias do município, você deve calcular a área total coberta por todas as fotografias. formato dos dados a primeira linha da entrada conterá um número n, que corresponde ao número de fotografias. nas próximas n linhas serão descritas as fotografias, uma por linha. a descrição de uma fotografia será indicada por quatro números inteiros x1 y1 x2 y2, que serão as coordenadas do canto superior esquerdo (x1,y1) e as do canto inferior direito (x2,y2) da fotografia. os lados das fotografias serão sempre paralelos aos eixos das coordenadas.",(a) 101 (b) 123 (c) 109 (d) 119 (e) 135,considere o conjunto de mapas abaixo: 3 2 6 7 2 4 15 13 9 conjunto de cinco fotografias área total 7 8 11 17 6 a área total coberta pelas fotografias é:,outros
2004,0,1,16,mapas da prefeitura,"a prefeitura de sua cidade iniciou um mapeamento das áreas urbanas do município. para isso contratou uma empresa de aerofotogrametria, que tirou fotografias aéreas de uma grande porção da cidade. as fotografias são todas retangulares, mas foram tiradas de alturas distintas, de forma que cobrem áreas de tamanhos variados. além disso, algumas áreas de algumas fotografias ficaram inutilizadas e foram cortadas, porque a visão do terreno foi prejudicada por nuvens; assim, apesar de todas as fotografias terem sido tiradas com a mesma máquina, nem todas têm as mesmas dimensões (mas todas são retangulares). dado um conjunto de fotografias do município, você deve calcular a área total coberta por todas as fotografias. formato dos dados a primeira linha da entrada conterá um número n, que corresponde ao número de fotografias. nas próximas n linhas serão descritas as fotografias, uma por linha. a descrição de uma fotografia será indicada por quatro números inteiros x1 y1 x2 y2, que serão as coordenadas do canto superior esquerdo (x1,y1) e as do canto inferior direito (x2,y2) da fotografia. os lados das fotografias serão sempre paralelos aos eixos das coordenadas.",(a) 285 (b) 257 (c) 266 (d) 263 (e) 261,considere o conjunto de mapas abaixo: 6 4 12 11 4 8 7 22 2 19 13 26 5 9 15 22 10 12 9 18 8 11 19 19 15 a área total coberta pelas fotografias é:,outros
2004,0,1,17,mapas da prefeitura,"a prefeitura de sua cidade iniciou um mapeamento das áreas urbanas do município. para isso contratou uma empresa de aerofotogrametria, que tirou fotografias aéreas de uma grande porção da cidade. as fotografias são todas retangulares, mas foram tiradas de alturas distintas, de forma que cobrem áreas de tamanhos variados. além disso, algumas áreas de algumas fotografias ficaram inutilizadas e foram cortadas, porque a visão do terreno foi prejudicada por nuvens; assim, apesar de todas as fotografias terem sido tiradas com a mesma máquina, nem todas têm as mesmas dimensões (mas todas são retangulares). dado um conjunto de fotografias do município, você deve calcular a área total coberta por todas as fotografias. formato dos dados a primeira linha da entrada conterá um número n, que corresponde ao número de fotografias. nas próximas n linhas serão descritas as fotografias, uma por linha. a descrição de uma fotografia será indicada por quatro números inteiros x1 y1 x2 y2, que serão as coordenadas do canto superior esquerdo (x1,y1) e as do canto inferior direito (x2,y2) da fotografia. os lados das fotografias serão sempre paralelos aos eixos das coordenadas.",(a) 374 (b) 287 (c) 291 (d) 275 (e) 303,considere o conjunto de mapas abaixo: 7 2 7 7 2 2 16 13 8 5 13 16 5 9 11 19 3 9 19 18 14 17 19 25 13 19 18 23 14 a área total coberta pelas fotografias é:,outros
2004,0,1,18,mapas da prefeitura,"a empresa de transportes super barateiro cargas quer economizar o pagamento de tarifas de pedágio, que representam uma parcela significativa do custo do transporte. no entanto, além do preço dos pedágios, os gerentes da sbc têm que levar em conta uma restrição adicional, que é a capacidade das pontes das estradas em suportar o peso dos caminhões. por exemplo, para o caso da figura abaixo, para uma viagem entre as cidades de albertina e cantão, supondo que o peso total do caminhão com a carga é igual a 4.5 toneladas, o menor custo total de pedágio possível é igual a r 32,00 (soma dos pedágios entre albertina e barrada e entre barrada e cantão. note que a estrada que existe entre albertina e cantão, apesar de ter uma tarifa de pedágio atrativa, não comporta o peso do caminhão carregado. tarefa dados um conjunto de cidades, os valores dos pedágios entre as cidades, as restrições de peso das pontes em cada estrada, e o peso total do caminhão carregado, você deve determinar o menor valor de pedágio a ser pago entre duas cidades especificadas. formato dos dados a primeira linha de dados conterá um número n, indicando o número de cidades e, em seguida, os nomes das n cidades (o nome de uma cidade não inclui espaços em branco). a segunda linha conterá um número m, indicando o número de estradas existentes entres as cidades. as próximas m linhas descrevem os valores de pedágios e restrições de peso para cada uma das estradas. cada linha descreve uma estrada, e começa com o nome das duas cidades que essa estrada liga, seguido pelo número p de pedágios naquela estrada e p valores de pedágios, terminando com um número c de pontes na estrada e os c valores correspondentes aos pesos máximos suportados por cada ponte. a última linha conterá o peso do caminhão e o nome de duas cidades, indicando o peso do caminhão que se deseja transportar da primeira cidade para a segunda.","(a) r 37,00 (b) r 36,00 (c) r 10,00 (d) r 19,00 (e) r 17,00","considere o conjunto de dados abaixo. 4 lavras ribeira paulista araras 5 lavras ribeira 1 18 1 3,5 ribeira araras 1 11 1 4,0 araras paulista 1 7 1 3,0 paulista lavras 1 10 1 2,5 ribeira paulista 1 19 1 3,0 3,0 lavras paulista o menor custo total do pedágio será:",outros
2004,0,1,1,supermercado,"um supermercado iniciou um serviço de entregas das compras de seus clientes. o serviço tem duas categorias, prioritária (quando a compra inclui alimentos congelados) e ordinária (quando a compra não inclui congelados). seis clientes, identificados por k, l, m, o, p e s, já solicitaram o serviço no primeiro dia de funcionamento. a entrega das compras (dos dois tipos) é sujeita às seguintes condições: - independentemente do tipo (ordinária ou prioritária), compras para os clientes p e s devem ser entregues antes das compras serem entregues para o cliente m. - independentemente do tipo (ordinária ou prioritária), compras para os clientes l e k devem ser entregues antes das compras serem entregues para o cliente s. - desde que as duas restrições acima permitam, compras para clientes que possuam entrega prioritária devem ser entregues antes de compras para clientes que não tenham entrega prioritária.","(a) l, k, p, s, o e m (b) l, k, s, p, m e o (c) k, l, p, m, s e o (d) k, p, l, s, o e m (e) o, k, l, p, s e m","se k é o único cliente com entrega prioritária, qual das seguintes alternativas lista os clientes na ordem em que estes podem receber suas compras?",ordenação
2004,0,1,2,supermercado,"um supermercado iniciou um serviço de entregas das compras de seus clientes. o serviço tem duas categorias, prioritária (quando a compra inclui alimentos congelados) e ordinária (quando a compra não inclui congelados). seis clientes, identificados por k, l, m, o, p e s, já solicitaram o serviço no primeiro dia de funcionamento. a entrega das compras (dos dois tipos) é sujeita às seguintes condições: - independentemente do tipo (ordinária ou prioritária), compras para os clientes p e s devem ser entregues antes das compras serem entregues para o cliente m. - independentemente do tipo (ordinária ou prioritária), compras para os clientes l e k devem ser entregues antes das compras serem entregues para o cliente s. - desde que as duas restrições acima permitam, compras para clientes que possuam entrega prioritária devem ser entregues antes de compras para clientes que não tenham entrega prioritária.","(a) k, l, p, s, o e m (b) l, k, o, p, s e m (c) l, k, s, p, m e o (d) m, l, s, p, k e o (e) s, l, m, p, k e o","se os clientes l, m e s têm entrega prioritária, qual das seguintes alternativas lista os clientes na ordem em que estes devem receber suas compras?",ordenação
2004,0,1,3,supermercado,"um supermercado iniciou um serviço de entregas das compras de seus clientes. o serviço tem duas categorias, prioritária (quando a compra inclui alimentos congelados) e ordinária (quando a compra não inclui congelados). seis clientes, identificados por k, l, m, o, p e s, já solicitaram o serviço no primeiro dia de funcionamento. a entrega das compras (dos dois tipos) é sujeita às seguintes condições: - independentemente do tipo (ordinária ou prioritária), compras para os clientes p e s devem ser entregues antes das compras serem entregues para o cliente m. - independentemente do tipo (ordinária ou prioritária), compras para os clientes l e k devem ser entregues antes das compras serem entregues para o cliente s. - desde que as duas restrições acima permitam, compras para clientes que possuam entrega prioritária devem ser entregues antes de compras para clientes que não tenham entrega prioritária.","(a) o e l (b) o e p (c) p e l (d) p e m (e) o, p, l e k","se a ordem na qual as compras são entregues é o, p, l, k, s e m, e se s está recebendo entrega prioritária, qual das seguintes alternativas é a lista de todos os clientes que também devem necessariamente estar recebendo entrega prioritária?",ordenação
2004,0,1,4,supermercado,"um supermercado iniciou um serviço de entregas das compras de seus clientes. o serviço tem duas categorias, prioritária (quando a compra inclui alimentos congelados) e ordinária (quando a compra não inclui congelados). seis clientes, identificados por k, l, m, o, p e s, já solicitaram o serviço no primeiro dia de funcionamento. a entrega das compras (dos dois tipos) é sujeita às seguintes condições: - independentemente do tipo (ordinária ou prioritária), compras para os clientes p e s devem ser entregues antes das compras serem entregues para o cliente m. - independentemente do tipo (ordinária ou prioritária), compras para os clientes l e k devem ser entregues antes das compras serem entregues para o cliente s. - desde que as duas restrições acima permitam, compras para clientes que possuam entrega prioritária devem ser entregues antes de compras para clientes que não tenham entrega prioritária.","(a) k (b) l (c) m (d) p (e) s olimpíada brasileira de informática obi2004 um grande número de convidados ﬁcou intoxicado após a festa de casamento de joão e joana. a suspeita logo recaiu sobre a salada de maionese servida na comemoração. para tratar com mais eﬁcácia os convidados afetados, amostras de maionese devem ser testadas para determinar a presença das toxinas r, s e t. serão utilizados dois testes: x e z. sabe-se que: - uma amostra mantém a cor adquirida em um teste a menos que outro teste altere a cor da amostra; - o teste x faz a amostra adquirir cor verde se esta contém r ou s, ou ambas, e faz a amostra adquirir cor laranja se esta não contém nem r nem s; - o teste z faz a amostra adquirir cor roxa se esta contém t; se a amostra não contém t, permanece com a mesma cor que tinha antes do teste z.","se apenas um dos clientes tem entrega prioritária, e, como resultado, o não pode receber suas compras antes do que três outros clientes, qual dos seguintes clientes deve também estar recebendo entrega prioritária?",ordenação
2004,0,1,8,atendimento ao consumidor,"o serviço de atendimento ao consumidor (sac) de uma empresa emprega seis pessoas que respondem a mensagens de correio eletrônico: gustavo, horácio, ivan, joana, kátia e luiza. cada mensagem de cliente recebida pelo sac é classificada como vermelha ou azul. o seguinte procedimento é utilizado: - mensagens vermelhas são encaminhadas para tratamento inicialmente para gustavo ou horácio; - mensagens azuis são encaminhadas para tratamento inicialmente para qualquer um dos seguintes: gustavo, joana ou ivan. se uma mensagem menciona um problema que não pode ser resolvido pela pessoa à qual a mensagem foi inicialmente encaminhada para tratamento, ela deve ser redirecionada para outra pessoa, até que chegue a alguém que possa tratar do problema e responder a mensagem. uma mensagem deve ser redirecionada da seguinte maneira: - de gustavo para ivan se a mensagem é vermelha, mas para joana se a mensagem é azul; - de horácio para gustavo ou para ivan; - de ivan para joana se a mensagem é vermelha, mas para kátia se a mensagem é azul; - de joana para ivan ou para kátia, não importando se a mensagem é vermelha ou azul; - de kátia para luiza, não importando se a mensagem é vermelha ou azul; além disso, luiza responde todas as mensagens que cheguem a ela.",(a) gustavo redireciona uma mensagem vermelha para ivan. - (b) horácio redireciona uma mensagem vermelha para gustavo. - (c) horácio redireciona uma mensagem vermelha para ivan. - (d) ivan redireciona uma mensagem vermelha para kátia. - (e) joana redireciona uma mensagem vermelha para ivan.,todas as afirmações abaixo são verdadeiras exceto: -,ordenação
2004,0,1,13,clara e luiz,"clara e luiz estudam na mesma escola e cursaram as mesmas seis matérias durante o ano, mas apenas em uma das matérias história do brasil tiraram a mesma nota. em cada uma das matérias as notas variaram de 60 a 100.","(a) a menor nota de clara foi história do brasil, mas a menor nota de luiz foi matemática. (b) a maior nota de luiz foi maior do que a maior nota de clara. (c) clara teve notas maiores do que luiz em três matérias. (d) a menor nota de clara foi igual à maior nota de luiz. (e) a menor nota de luiz e a maior nota de clara foram na mesma matéria.",qual das seguintes afirmações permite que se deduza que a média das notas que clara tirou nas outras cinco matérias foi maior que a média das notas de luiz nessas mesmas cinco matérias?,ordenação
2004,0,1,6,maionese,"um grande número de convidados ficou intoxicado após a festa de casamento de joão e joana. a suspeita logo recaiu sobre a salada de maionese servida na comemoração. para tratar com mais eficácia os convidados afetados, amostras de maionese devem ser testadas para determinar a presença das toxinas r, s e t. serão utilizados dois testes: x e z. sabe-se que: - uma amostra mantém a cor adquirida em um teste a menos que outro teste altere a cor da amostra; - o teste x faz a amostra adquirir cor verde se esta contém r ou s, ou ambas, e faz a amostra adquirir cor laranja se esta não contém nem r nem s; - o teste z faz a amostra adquirir cor roxa se esta contém t; se a amostra não contém t, permanece com a mesma cor que tinha antes do teste z.","(a) r, s e t. (b) s e t, mas não r. (c) t, mas não r nem s. (d) s, mas não r nem t. (e) nem r, nem s, nem t.",uma amostra que permaneça amarela quando submetida ao teste z e que adquira cor verde quando submetida ao teste x pode ser uma amostra contendo,agrupamento
2004,0,1,7,maionese,"um grande número de convidados ficou intoxicado após a festa de casamento de joão e joana. a suspeita logo recaiu sobre a salada de maionese servida na comemoração. para tratar com mais eficácia os convidados afetados, amostras de maionese devem ser testadas para determinar a presença das toxinas r, s e t. serão utilizados dois testes: x e z. sabe-se que: - uma amostra mantém a cor adquirida em um teste a menos que outro teste altere a cor da amostra; - o teste x faz a amostra adquirir cor verde se esta contém r ou s, ou ambas, e faz a amostra adquirir cor laranja se esta não contém nem r nem s; - o teste z faz a amostra adquirir cor roxa se esta contém t; se a amostra não contém t, permanece com a mesma cor que tinha antes do teste z.","(a) r, s e t (b) r e s, mas não t (c) r e t, mas não s (d) r, mas não s nem t (e) s, mas não r nem t r e s, mas não t s e t, mas não r s e t, mas não r nem s, nem r e nem t nem s, nem r e nem t",os dois testes não conseguirão distinguir duas amostras contendo:,agrupamento
2004,0,1,5,maionese,"um grande número de convidados ficou intoxicado após a festa de casamento de joão e joana. a suspeita logo recaiu sobre a salada de maionese servida na comemoração. para tratar com mais eficácia os convidados afetados, amostras de maionese devem ser testadas para determinar a presença das toxinas r, s e t. serão utilizados dois testes: x e z. sabe-se que: - uma amostra mantém a cor adquirida em um teste a menos que outro teste altere a cor da amostra; - o teste x faz a amostra adquirir cor verde se esta contém r ou s, ou ambas, e faz a amostra adquirir cor laranja se esta não contém nem r nem s; - o teste z faz a amostra adquirir cor roxa se esta contém t; se a amostra não contém t, permanece com a mesma cor que tinha antes do teste z.","(a) verde, verde (b) verde, roxo (c) laranja, amarelo (d) laranja, laranja (e) laranja, roxo","uma amostra que contenha r e s mas não contenha t adquirirá que seqüência de cores, a primeira após o teste x ser aplicado, e a segunda após o teste z ser aplicado?",agrupamento
